"22","22","10","VALOR KILO ROPA NORMAL ( TOALLAS, POLERAS, SHORT , INTERIORES SIN MANCHAS O FLUIDOS )",,"0.00","1260.50","878.13","19.00","1","3.67","0","4621.75",NULL,"Sales"
"23","22","22","JEANS PANTALONES",,"0.00","840.34","159.66","19.00","1","1.00","0","840.34",NULL,"Sales"
"24","22","11","POLERONES DELGADOS O FINOS",,"0.00","1680.67","319.33","19.00","1","1.00","0","1680.67",NULL,"Sales"
"26","24","30","CORTINAS JUEGO",,"0.00","3361.34","1277.31","19.00","1","2.00","0","6722.68",NULL,"Sales"
"27","24","31","VISILLO DE CORTINA",,"0.00","2100.80","399.15","19.00","1","1.00","0","2100.80",NULL,"Sales"
"30","26","33","MANTA HUASO CHICA",,"0.00","4202.00","1596.76","19.00","1","2.00","0","8404.00",NULL,"Sales"
"31","26","28","ternos completos",,"0.00","6722.69","2554.62","19.00","1","2.00","0","13445.38",NULL,"Sales"
"32","27","3","cobertor de pluma",,"3350.00","6722.68","1277.31","19.00","1","1.00","0","6722.68",NULL,"Sales"
"33","27","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","957.98","19.00","1","1.00","0","5042.01",NULL,"Sales"
"39","31","10","VALOR KILO ROPA NORMAL ( TOALLAS, POLERAS, SHORT , INTERIORES SIN MANCHAS O FLUIDOS )",,"0.00","1260.50","1436.97","19.00","1","6.00","0","7563.00",NULL,"Sales"
"40","32","22","JEANS PANTALONES",,"0.00","840.34","319.33","19.00","1","2.00","0","1680.68",NULL,"Sales"
"41","32","10","VALOR KILO ROPA NORMAL ( TOALLAS, POLERAS, SHORT , INTERIORES SIN MANCHAS O FLUIDOS )",,"0.00","1260.50","1165.38","19.00","1","4.87","0","6133.59",NULL,"Sales"
"42","33","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","1915.96","19.00","1","2.00","0","10084.02",NULL,"Sales"
"43","33","40","DESMANCHE",,"0.00","840.30","319.31","19.00","1","2.00","0","1680.60",NULL,"Sales"
"44","34","14","PARKAS DE PLUMA CORTAS",,"0.00","6722.69","1277.31","19.00","1","1.00","0","6722.69",NULL,"Sales"
"45","35","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","957.98","19.00","1","1.00","0","5042.01",NULL,"Sales"
"46","36","3","cobertor de pluma",,"3350.00","6722.68","1277.31","19.00","1","1.00","0","6722.68",NULL,"Sales"
"47","36","40","DESMANCHE",,"0.00","840.30","159.66","19.00","1","1.00","0","840.30",NULL,"Sales"
"48","37","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","1915.96","19.00","1","2.00","0","10084.02",NULL,"Sales"
"49","37","4","cobertor chiporro 2 plazas",,"2900.00","5882.35","1117.65","19.00","1","1.00","0","5882.35",NULL,"Sales"
"50","37","40","DESMANCHE",,"0.00","840.30","478.97","19.00","1","3.00","0","2520.90",NULL,"Sales"
"51","38","29","SABANAS EL JUEGO",,"0.00","1680.67","558.82","19.00","1","1.75","0","2941.17",NULL,"Sales"
"55","40","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","957.98","19.00","1","1.00","0","5042.01",NULL,"Sales"
"56","40","4","cobertor chiporro 2 plazas",,"2900.00","5882.35","1117.65","19.00","1","1.00","0","5882.35",NULL,"Sales"
"57","41","3","cobertor de pluma",,"3350.00","6722.68","3831.93","19.00","1","3.00","0","20168.04",NULL,"Sales"
"58","42","3","cobertor de pluma",,"3350.00","6722.68","1277.31","19.00","1","1.00","0","6722.68",NULL,"Sales"
"59","42","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","1915.96","19.00","1","2.00","0","10084.02",NULL,"Sales"
"60","43","2","cobertor sintetico hasta 2 plazas",,"3000.00","5042.01","2873.95","19.00","1","3.00","0","15126.03",NULL,"Sales"
"61","43","4","cobertor chiporro 2 plazas",,"2900.00","5882.35","1117.65","19.00","1","1.00","0","5882.35",NULL,"Sales"
"62","43","3","cobertor de pluma",,"3350.00","6722.68","1277.31","19.00","1","1.00","0","6722.68",NULL,"Sales"
